Order_ID,Order_Date,Product_ID,Product_Name,Amount,Quantity
1,8/11/2017,1,Bookcases,261.96,2
2,8/11/2017,2,Chairs,731.94,4
3,12/6/2017,3,Labels,14.62,8
4,11/10/2016,4,Tables,957.5775,1
5,11/10/2016,5,Storage,22.368,2
6,9/6/2015,6,Furnishings,48.86,3
7,9/6/2015,7,Art,7.28,6
8,9/6/2015,8,Phones,907.152,6
9,9/6/2015,9,Binders,18.504,7
10,9/6/2015,10,Appliances,114.9,2
11,9/6/2015,11,Tables,1706.184,3
12,9/6/2015,12,Phones,911.424,10
13,15/04/2018,13,Paper,15.552,2
14,5/12/2017,14,Binders,407.976,3
15,22/11/2016,15,Appliances,68.81,9
16,22/11/2016,16,Binders,2.544,1
17,11/11/2015,17,Storage,665.88,2
18,13/05/2015,18,Storage,55.5,3
19,27/08/2015,19,Art,8.56,4
20,27/08/2015,20,Phones,213.48,10
21,27/08/2015,21,Binders,22.72,10
22,9/12/2017,22,Art,19.46,9
23,9/12/2017,23,Appliances,60.34,5
24,16/07/2018,24,Chairs,71.372,7
25,25/09/2016,25,Tables,1044.63,10
26,16/01/2017,26,Binders,11.648,9
27,16/01/2017,27,Accessories,90.57,6
28,17/09/2016,28,Bookcases,3083.43,3
29,17/09/2016,29,Binders,9.618,5
30,17/09/2016,30,Furnishings,124.2,6
31,17/09/2016,31,Envelopes,3.264,6
32,17/09/2016,32,Art,86.304,6
33,17/09/2016,33,Binders,6.858,7
34,17/09/2016,34,Art,15.76,7
35,19/10/2018,35,Paper,29.472,2
36,8/12/2017,36,Phones,1097.544,7
37,8/12/2017,37,Furnishings,190.92,6
38,27/12/2016,38,Envelopes,113.328,6
39,27/12/2016,39,Bookcases,532.3992,3
40,27/12/2016,40,Chairs,212.058,9
41,27/12/2016,41,Phones,371.168,8
42,10/9/2018,42,Phones,147.168,1
43,17/07/2017,43,Storage,77.88,6
44,19/09/2018,44,Storage,95.616,10
45,11/3/2017,45,Accessories,45.98,8
46,11/3/2017,46,Binders,17.46,2
47,20/10/2015,47,Storage,211.96,7
48,20/06/2017,48,Accessories,45,10
49,20/06/2017,49,Phones,21.8,8
50,18/04/2016,50,Binders,38.22,2
51,18/04/2016,51,Labels,75.18,1
52,18/04/2016,52,Furnishings,6.16,8
53,18/04/2016,53,Chairs,89.99,1
54,11/12/2017,54,Fasteners,15.26,1
55,11/12/2017,55,Phones,1029.95,1
56,17/06/2017,56,Storage,208.56,1
57,17/06/2017,57,Paper,32.4,6
58,17/06/2017,58,Chairs,319.41,10
59,17/06/2017,59,Paper,14.56,6
60,17/06/2017,60,Accessories,30,9
61,17/06/2017,61,Binders,48.48,1
62,17/06/2017,62,Art,1.68,10
63,24/11/2016,63,Accessories,13.98,5
64,24/11/2016,64,Binders,25.824,5
65,24/11/2016,65,Paper,146.73,4
66,24/11/2016,66,Furnishings,79.76,3
67,30/04/2016,67,Chairs,213.115,7
68,5/12/2015,68,Art,1113.024,2
69,5/12/2015,69,Phones,167.968,6
70,4/6/2017,70,Paper,75.88,3
